parameter,value,unit,source
mrr_precision_bits,7.0,bits,DEAP-CNNs article
mrr_self_coupling,0.99,,DEAP-CNNs article
mrr_loss,0.99,,DEAP-CNNs article
max_wavelengths,100.0,,DEAP-CNNs article
max_modulators,1024.0,,DEAP-CNNs article
waveguide_width_nm,500.0,nm,DEAP-CNNs article
waveguide_thickness_nm,220.0,nm,DEAP-CNNs article
waveguide_bend_radius_um,5.0,um,DEAP-CNNs article
wavelength_min_um,1.5,um,DEAP-CNNs article
wavelength_max_um,1.6,um,DEAP-CNNs article
propagation_radius_um,10.0,um,DEAP-CNNs article
propagation_mrrs,100.0,,DEAP-CNNs article
propagation_time_ps,21.0,ps,DEAP-CNNs article
balanced_pd_throughput_gsps,25.0,GS/s,DEAP-CNNs article
tia_throughput_gsps,10.0,GS/s,DEAP-CNNs article
mrr_modulation_throughput_gsps,128.0,GS/s,DEAP-CNNs article
dac_throughput_gsps,5.0,GS/s,DEAP-CNNs article
adc_throughput_gsps,5.0,GS/s,DEAP-CNNs article
output_cycle_ps,200.0,ps,DEAP-CNNs article
laser_power_mw,100.0,mW,DEAP-CNNs article
mrr_power_mw,19.5,mW,DEAP-CNNs article
dac_power_mw,26.0,mW,DEAP-CNNs article
tia_power_mw,17.0,mW,DEAP-CNNs article
adc_power_mw,76.0,mW,DEAP-CNNs article
