network,variant,architecture,tiles,pes,cols,rows,layers,energy_j,latency_s,edp_j_s
mobilenet_v3,osa,deap_wide_kernel,1,1,100,12,64,0.6537556301403467,0.17904865279999999,0.11705406483704413
vision_transformer,no_osa,c8_r4,1,32,8,4,98,57.1003612739437,1.6857053184000002,96.2543826820483
mobilenet_v3,osa,c4_r32,1,8,4,32,64,0.7606685758785453,0.1533266944,0.11663079827341293
gpt2_medium,osa,c8_r16,1,8,8,16,145,178.95703196613414,9.051937177600001,1619.9078108472015
vision_transformer,osa,c4_r16,1,16,4,16,98,41.314534872272475,1.6857796608,69.64720258308927
gpt2_medium,osa,c8_r4,1,32,8,4,145,264.5017759657617,9.051622604800002,2394.1702543414344
vgg16,no_osa,deap_high_channel,1,1,9,113,16,69.88200138287759,2.134714368,149.17811241662466
resnet18,no_osa,c8_r16,1,8,8,16,21,6.843008484206128,0.3153977344,2.158269372398591
mobilenet_v3,no_osa,c4_r16,1,16,4,16,64,1.3639205048301783,0.08235151359999998,0.11232091800284127
gpt2_medium,no_osa,paper_optimum_8x8,1,16,8,8,145,256.7190473592072,9.0517274624,2323.750851102502
gpt2_medium,osa,compact_4x4,1,64,4,4,145,365.86978798556333,9.0516226048,3311.7152433435085
gpt2_medium,no_osa,c8_r4,1,32,8,4,145,306.7979590200796,9.0516226048,2777.0193409726567
gpt2_medium,no_osa,deap_high_channel,1,1,9,113,145,389.73386446544407,9.582516633600001,3734.6312389173263
gpt2_medium,osa,deap_wide_kernel,1,1,100,12,145,152.1170441251747,8.163295232,1241.7763410129721
gpt2_medium,no_osa,c4_r16,1,16,4,16,145,459.8445213658988,9.051937177600001,4162.483718867657
vision_transformer,osa,compact_4x4,1,64,4,4,98,67.9540590675131,1.6857053184,114.55051877697457
resnet18,osa,c8_r16,1,8,8,16,21,4.222616752722962,0.31539773439999996,1.331803757048307
gpt2_medium,no_osa,c4_r32,1,8,4,32,145,580.2069600300572,9.051937177600001,5251.996952198352
vgg16,osa,compact_4x4,1,64,4,4,16,63.72132682680074,2.20372992,140.42459447031945
mobilenet_v3,no_osa,c4_r8,1,32,4,8,64,1.240745669916585,0.045720064000000005,0.05672697143630915
mobilenet_v3,no_osa,paper_optimum_8x8,1,16,8,8,64,0.785523715980565,0.047325696,0.03717545658328656
vision_transformer,no_osa,deap_wide_kernel,1,1,100,12,98,28.059263757203855,1.4841151488,41.64317840624104
mobilenet_v3,osa,c4_r16,1,16,4,16,64,0.7639353502897018,0.08235151360000001,0.06291123238890316
gpt2_medium,osa,deap_high_channel,1,1,9,113,145,170.83679257435136,9.582516633600001,1637.046406474595
mobilenet_v3,no_osa,c8_r4,1,32,8,4,64,0.8887862110025014,0.034681344,0.03082430032623434
vision_transformer,osa,paper_optimum_8x8,1,16,8,8,98,38.006481768841205,1.6857053184,64.06772845140826
mobilenet_v3,osa,paper_optimum_8x8,1,16,8,8,64,0.6513652113153301,0.047325696,0.030826311975685073
alexnet,osa,c8_r32,1,4,8,32,8,1.437104117754732,0.1385926656,0.19917209042436457
gpt2_medium,osa,c4_r32,1,8,4,32,145,216.07680716609082,9.051937177600001,1955.9136840038439
gpt2_medium,no_osa,c4_r8,1,32,4,8,145,422.97980607789634,9.0517274624,3828.697926715921
vision_transformer,no_osa,c8_r32,1,4,8,32,98,52.646836567847274,1.6857661439999998,88.75025467477808
gpt2_medium,no_osa,deap_wide_kernel,1,1,100,12,145,153.90907834308743,8.163295232000001,1256.4052453996403
resnet18,no_osa,deap_wide_kernel,1,1,100,12,21,3.116208980012525,0.1739014144,0.5419131491901595
alexnet,no_osa,paper_optimum_8x8,1,16,8,8,8,2.478388580374297,0.1231896576,0.3053118406160597
gpt2_medium,no_osa,c8_r32,1,4,8,32,145,285.26753866456454,9.051937177600001,2582.2238388002174
vision_transformer,no_osa,compact_4x4,1,64,4,4,98,89.98661422860962,1.6857053184,151.69091418997635
vision_transformer,osa,deap_high_channel,1,1,9,113,98,31.61798783651253,1.759890432,55.64419427257078
