network,architecture,energy_model,optical_loss_db_per_stage,layer,slice_bits,energy_j,latency_s,accuracy,accuracy_status
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/000,4,0.6000233920397793,0.0201326592,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/001,4,0.19895226618392825,0.0067108864,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/002,4,0.0002152343575294116,6.5536e-06,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/003,4,0.0007630983156329352,2.62144e-05,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/004,4,0.7894751740722814,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/005,4,0.795809064735713,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/006,4,0.6000233920397793,0.0201326592,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/007,4,0.19895226618392825,0.0067108864,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/008,4,0.0002152343575294116,6.5536e-06,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/009,4,0.0007630983156329352,2.62144e-05,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/010,4,0.7894751740722814,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/011,4,0.795809064735713,0.0268435456,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/012,4,0.6000233920397793,0.0201326592,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/013,4,0.19895226618392825,0.0067108864,,NOT_MODELED
gpt2_medium,c8_r32,optimistic_constant_symbol,0.0,gpt2_medium/014,4,0.0002152343575294116,6.5536e-06,,NOT_MODELED
