network,architecture,variant,stationarity,accumulation,sliced_operand,front_mrr_slice_bits,energy_model,optical_loss_db_per_stage,accuracy_status,layers,energy_j,latency_s,edp_j_s
mobilenet_v3,c8_r4,is_no_osa_8,IS,none,weight,8,optimistic_constant_symbol,0.0,NOT_MODELED,64,17.324797826209043,0.015444182400000001,0.267567337671096
mobilenet_v3,c8_r4,is_no_osa_8,IS,none,weight,8,optimistic_constant_symbol,0.5,NOT_MODELED,64,17.324797826209043,0.015444182400000001,0.267567337671096
mobilenet_v3,c8_r4,is_no_osa_8,IS,none,weight,8,optimistic_constant_symbol,1.0,NOT_MODELED,64,17.324797826209043,0.015444182400000001,0.267567337671096
mobilenet_v3,c8_r4,is_no_osa_8,IS,none,weight,8,linear_bit,0.0,NOT_MODELED,64,22.772866656284904,0.015444182400000001,0.3517083064105422
mobilenet_v3,c8_r4,is_no_osa_8,IS,none,weight,8,linear_bit,0.5,NOT_MODELED,64,22.772866656284904,0.015444182400000001,0.3517083064105422
mobilenet_v3,c8_r4,is_no_osa_8,IS,none,weight,8,linear_bit,1.0,NOT_MODELED,64,22.772866656284904,0.015444182400000001,0.3517083064105422
mobilenet_v3,c8_r4,is_no_osa_8,IS,none,weight,8,conservative_walden,0.0,NOT_MODELED,64,215.01186680324736,0.015444182400000001,3.320682489073857
mobilenet_v3,c8_r4,is_no_osa_8,IS,none,weight,8,conservative_walden,0.5,NOT_MODELED,64,215.01186680324736,0.015444182400000001,3.320682489073857
mobilenet_v3,c8_r4,is_no_osa_8,IS,none,weight,8,conservative_walden,1.0,NOT_MODELED,64,215.01186680324736,0.015444182400000001,3.320682489073857
vision_transformer,c8_r32,ws_osa_8,WS,none,input,8,optimistic_constant_symbol,0.0,NOT_MODELED,98,9.539476528008183,0.210720768,2.010165820299858
vision_transformer,c8_r32,ws_osa_8,WS,none,input,8,optimistic_constant_symbol,0.5,NOT_MODELED,98,9.539476528008183,0.210720768,2.010165820299858
vision_transformer,c8_r32,ws_osa_8,WS,none,input,8,optimistic_constant_symbol,1.0,NOT_MODELED,98,9.539476528008183,0.210720768,2.010165820299858
vision_transformer,c8_r32,ws_osa_8,WS,none,input,8,linear_bit,0.0,NOT_MODELED,98,22.539384982571704,0.210720768,4.749516513775176
vision_transformer,c8_r32,ws_osa_8,WS,none,input,8,linear_bit,0.5,NOT_MODELED,98,22.539384982571704,0.210720768,4.749516513775176
vision_transformer,c8_r32,ws_osa_8,WS,none,input,8,linear_bit,1.0,NOT_MODELED,98,22.539384982571704,0.210720768,4.749516513775176
vision_transformer,c8_r32,ws_osa_8,WS,none,input,8,conservative_walden,0.0,NOT_MODELED,98,481.2504404507416,0.210720768,101.40946241211854
vision_transformer,c8_r32,ws_osa_8,WS,none,input,8,conservative_walden,0.5,NOT_MODELED,98,481.2504404507416,0.210720768,101.40946241211854
vision_transformer,c8_r32,ws_osa_8,WS,none,input,8,conservative_walden,1.0,NOT_MODELED,98,481.2504404507416,0.210720768,101.40946241211854
alexnet,c4_r32,is_osa_2,IS,optical,weight,2,optimistic_constant_symbol,0.0,NOT_MODELED,8,2.1564391919804717,0.0487696768,0.10516884243174077
alexnet,c4_r32,is_osa_2,IS,optical,weight,2,optimistic_constant_symbol,0.5,NOT_MODELED,8,2.156925957932594,0.0487696768,0.105192581849903
alexnet,c4_r32,is_osa_2,IS,optical,weight,2,optimistic_constant_symbol,1.0,NOT_MODELED,8,2.157613533115411,0.0487696768,0.10522611466934469
alexnet,c4_r32,is_osa_2,IS,optical,weight,2,linear_bit,0.0,NOT_MODELED,8,2.314406213616391,0.0487696768,0.11287284302198317
alexnet,c4_r32,is_osa_2,IS,optical,weight,2,linear_bit,0.5,NOT_MODELED,8,2.3148929795685143,0.0487696768,0.11289658244014544
alexnet,c4_r32,is_osa_2,IS,optical,weight,2,linear_bit,1.0,NOT_MODELED,8,2.315580554751331,0.0487696768,0.11293011525958711
alexnet,c4_r32,is_osa_2,IS,optical,weight,2,conservative_walden,0.0,NOT_MODELED,8,2.472373235252311,0.0487696768,0.12057684361222558
alexnet,c4_r32,is_osa_2,IS,optical,weight,2,conservative_walden,0.5,NOT_MODELED,8,2.4728600012044337,0.0487696768,0.12060058303038784
alexnet,c4_r32,is_osa_2,IS,optical,weight,2,conservative_walden,1.0,NOT_MODELED,8,2.4735475763872508,0.0487696768,0.12063411584982954
vision_transformer,paper_optimum_8x8,ws_osa_4,WS,optical,input,4,optimistic_constant_symbol,0.0,NOT_MODELED,98,17.790443161156137,0.4214263296,7.497361163363452
vision_transformer,paper_optimum_8x8,ws_osa_4,WS,optical,input,4,optimistic_constant_symbol,0.5,NOT_MODELED,98,17.795416847211474,0.4214263296,7.499457205622335
vision_transformer,paper_optimum_8x8,ws_osa_4,WS,optical,input,4,optimistic_constant_symbol,1.0,NOT_MODELED,98,17.800997414751468,0.4214263296,7.501809003717799
vision_transformer,paper_optimum_8x8,ws_osa_4,WS,optical,input,4,linear_bit,0.0,NOT_MODELED,98,40.07649306242226,0.4214263296,16.889289374536474
vision_transformer,paper_optimum_8x8,ws_osa_4,WS,optical,input,4,linear_bit,0.5,NOT_MODELED,98,40.081466748477595,0.4214263296,16.89138541679536
