network,architecture,energy_model,optical_loss_db_per_stage,mapping,stationarity,layers,energy_j,latency_s,edp_j_s,frontier_states,accuracy,accuracy_status,best_fixed_stationarity,best_fixed_slice_bits,fixed_edp_j_s,aswm_reduction_vs_best_fixed
vision_transformer,paper_optimum_8x8,optimistic_constant_symbol,0.0,ASWM-WS,WS,98,17.79044316115614,0.42142632959999976,7.49736116336345,1,,NOT_MODELED,WS,4,7.497361163363452,3.3306690738754696e-16
vision_transformer,paper_optimum_8x8,optimistic_constant_symbol,0.5,ASWM-WS,WS,98,17.795416847211467,0.42142632959999976,7.4994572056223285,1,,NOT_MODELED,WS,4,7.499457205622335,7.771561172376096e-16
vision_transformer,paper_optimum_8x8,optimistic_constant_symbol,1.0,ASWM-WS,WS,98,17.80099741475149,0.42142632959999976,7.5018090037178045,1,,NOT_MODELED,WS,4,7.501809003717799,-6.661338147750939e-16
vision_transformer,paper_optimum_8x8,linear_bit,0.0,ASWM-WS,WS,98,40.07649306242225,0.42142632959999976,16.889289374536464,9036,,NOT_MODELED,WS,4,16.889289374536474,6.661338147750939e-16
vision_transformer,paper_optimum_8x8,linear_bit,0.5,ASWM-WS,WS,98,40.081466748477574,0.42142632959999976,16.89138541679534,9036,,NOT_MODELED,WS,4,16.89138541679536,9.992007221626409e-16
vision_transformer,paper_optimum_8x8,linear_bit,1.0,ASWM-WS,WS,98,40.08704731601759,0.42142632959999976,16.893737214890812,9036,,NOT_MODELED,WS,4,16.893737214890827,8.881784197001252e-16
vision_transformer,paper_optimum_8x8,conservative_walden,0.0,ASWM-WS,WS,98,39.33888917072204,0.8428526591999995,33.156887347517134,24004,,NOT_MODELED,WS,2,33.15688734751716,8.881784197001252e-16
vision_transformer,paper_optimum_8x8,conservative_walden,0.5,ASWM-WS,WS,98,39.37261174573382,0.8428526591999995,33.185310509540884,20367,,NOT_MODELED,WS,2,33.18531050954089,2.220446049250313e-16
vision_transformer,paper_optimum_8x8,conservative_walden,1.0,ASWM-WS,WS,98,39.42024614903933,0.8428526591999995,33.22545929303634,15863,,NOT_MODELED,WS,2,33.22545929303633,-2.220446049250313e-16
gpt2_medium,c8_r16,optimistic_constant_symbol,0.0,ASWM-WS,WS,145,76.87143713638244,2.2629842944000007,173.95885492759044,1,,NOT_MODELED,WS,4,173.95885492759032,-6.661338147750939e-16
gpt2_medium,c8_r16,optimistic_constant_symbol,0.5,ASWM-WS,WS,145,76.88479153380722,2.2629842944000007,173.98907571922388,1,,NOT_MODELED,WS,4,173.98907571922368,-1.1102230246251565e-15
gpt2_medium,c8_r16,optimistic_constant_symbol,1.0,ASWM-WS,WS,145,76.89977541416378,2.2629842944000007,174.02298400513996,1,,NOT_MODELED,WS,4,174.02298400514,1.1102230246251565e-16
gpt2_medium,c8_r16,linear_bit,0.0,ASWM-WS,WS,145,136.71066138053746,2.2629842944000007,309.374079581193,61058,,NOT_MODELED,WS,4,309.37407958119326,8.881784197001252e-16
gpt2_medium,c8_r16,linear_bit,0.5,ASWM-WS,WS,145,136.72401577796228,2.2629842944000007,309.4043003728265,60578,,NOT_MODELED,WS,4,309.4043003728266,2.220446049250313e-16
gpt2_medium,c8_r16,linear_bit,1.0,ASWM-WS,WS,145,136.73899965831896,2.2629842944000007,309.4382086587429,60338,,NOT_MODELED,WS,4,309.43820865874295,2.220446049250313e-16
gpt2_medium,c8_r16,conservative_walden,0.0,ASWM-WS,WS,145,150.84038171890992,4.525968588800001,682.6988295823883,60338,,NOT_MODELED,WS,2,682.6988295823882,-2.220446049250313e-16
gpt2_medium,c8_r16,conservative_walden,0.5,ASWM-WS,WS,145,150.9307004141778,4.525968588800001,683.1076091601522,60338,,NOT_MODELED,WS,2,683.1076091601534,1.7763568394002505e-15
gpt2_medium,c8_r16,conservative_walden,1.0,ASWM-WS,WS,145,151.05827896222561,4.525968588800001,683.6850256612212,60338,,NOT_MODELED,WS,2,683.685025661222,1.1102230246251565e-15
alexnet,c8_r4,optimistic_constant_symbol,0.0,ASWM-WS,WS,8,1.3379992977889474,0.0307974144,0.04120691884091522,1,,NOT_MODELED,WS,4,0.04120691884091522,0.0
alexnet,c8_r4,optimistic_constant_symbol,0.5,ASWM-WS,WS,8,1.3386856866387296,0.0307974144,0.0412280578427615,1,,NOT_MODELED,WS,4,0.04122805784276149,-2.220446049250313e-16
alexnet,c8_r4,optimistic_constant_symbol,1.0,ASWM-WS,WS,8,1.3394558275950124,0.0307974144,0.04125177619293855,1,,NOT_MODELED,WS,4,0.041251776192938544,-2.220446049250313e-16
alexnet,c8_r4,linear_bit,0.0,ASWM-WS,WS,8,3.5688395059189952,0.0307974144,0.10991102919087856,105,,NOT_MODELED,WS,4,0.10991102919087857,1.1102230246251565e-16
alexnet,c8_r4,linear_bit,0.5,ASWM-WS,WS,8,3.569525894768778,0.0307974144,0.10993216819272485,105,,NOT_MODELED,WS,4,0.10993216819272485,0.0
alexnet,c8_r4,linear_bit,1.0,ASWM-WS,WS,8,3.5702960357250606,0.0307974144,0.10995588654290189,102,,NOT_MODELED,WS,4,0.10995588654290188,-2.220446049250313e-16
alexnet,c8_r4,conservative_walden,0.0,ASWM-WS,WS,8,3.1780098220972226,0.0615948288,0.19574897091679688,246,,NOT_MODELED,WS,2,0.19574897091679688,0.0
alexnet,c8_r4,conservative_walden,0.5,ASWM-WS,WS,8,3.182648456715813,0.0615948288,0.1960346868219947,246,,NOT_MODELED,WS,2,0.19603468682199465,-2.220446049250313e-16
alexnet,c8_r4,conservative_walden,1.0,ASWM-WS,WS,8,3.189200702270357,0.0615948288,0.1964382712651824,241,,NOT_MODELED,WS,2,0.19643827126518243,1.1102230246251565e-16
gpt2_medium,c8_r4,optimistic_constant_symbol,0.0,ASWM-WS,WS,145,143.6711675285575,2.262905651200001,325.11429691487484,1,,NOT_MODELED,WS,4,325.11429691487467,-4.440892098500626e-16
gpt2_medium,c8_r4,optimistic_constant_symbol,0.5,ASWM-WS,WS,145,143.72472989415417,2.262905651200001,325.2355034946752,1,,NOT_MODELED,WS,4,325.2355034946747,-1.5543122344752192e-15
gpt2_medium,c8_r4,optimistic_constant_symbol,1.0,ASWM-WS,WS,145,143.78482785680927,2.262905651200001,325.371499513993,1,,NOT_MODELED,WS,4,325.3714995139931,3.3306690738754696e-16
gpt2_medium,c8_r4,linear_bit,0.0,ASWM-WS,WS,145,383.91792442706236,2.262905651200001,868.7700407829743,60338,,NOT_MODELED,WS,4,868.7700407829736,-8.881784197001252e-16
gpt2_medium,c8_r4,linear_bit,0.5,ASWM-WS,WS,145,383.9714867926591,2.262905651200001,868.8912473627748,60338,,NOT_MODELED,WS,4,868.8912473627737,-1.3322676295501878e-15
gpt2_medium,c8_r4,linear_bit,1.0,ASWM-WS,WS,145,384.0315847553145,2.262905651200001,869.0272433820933,60338,,NOT_MODELED,WS,4,869.0272433820918,-1.7763568394002505e-15
gpt2_medium,c8_r4,conservative_walden,0.0,ASWM-WS,WS,145,343.09673781972754,4.525811302400002,1552.791093841093,184208,,NOT_MODELED,WS,2,1552.7910938410917,-8.881784197001252e-16
gpt2_medium,c8_r4,conservative_walden,0.5,ASWM-WS,WS,145,343.4576969323492,4.525811302400002,1554.4247266727007,183773,,NOT_MODELED,WS,2,1554.4247266727,-4.440892098500626e-16
gpt2_medium,c8_r4,conservative_walden,1.0,ASWM-WS,WS,145,343.96756523100134,4.525811302400002,1556.7322943814759,182425,,NOT_MODELED,WS,2,1556.7322943814756,-2.220446049250313e-16
gpt2_medium,paper_optimum_8x8,optimistic_constant_symbol,0.0,ASWM-WS,WS,145,95.75783254350736,2.2629318656000006,216.69345064349156,1,,NOT_MODELED,WS,4,216.69345064349176,8.881784197001252e-16
gpt2_medium,paper_optimum_8x8,optimistic_constant_symbol,0.5,ASWM-WS,WS,145,95.78454134265564,2.2629318656000006,216.7538908361761,1,,NOT_MODELED,WS,4,216.75389083617603,-4.440892098500626e-16
