energy_model,optical_loss_db_per_stage,mapping,architecture,geometric_mean_edp,rank
conservative_walden,0.0,ASWM-IS,c8_r32,2.7478482743687076,1
conservative_walden,0.0,ASWM-IS,c4_r32,4.610091739351177,2
conservative_walden,0.0,ASWM-IS,c8_r16,5.171454088090566,3
conservative_walden,0.0,ASWM-IS,c4_r16,9.271564312108232,4
conservative_walden,0.0,ASWM-IS,paper_optimum_8x8,10.30722682578475,5
conservative_walden,0.0,ASWM-IS,c4_r8,26.69140167799598,6
conservative_walden,0.0,ASWM-IS,c8_r4,27.203297606799506,7
conservative_walden,0.0,ASWM-IS,compact_4x4,64.16160744343985,8
conservative_walden,0.0,ASWM-WS,c8_r32,2.639899860984094,1
conservative_walden,0.0,ASWM-WS,c8_r16,3.2885222241267797,2
conservative_walden,0.0,ASWM-WS,paper_optimum_8x8,4.034401707089279,3
conservative_walden,0.0,ASWM-WS,c4_r16,4.279317544821518,4
conservative_walden,0.0,ASWM-WS,c4_r32,4.426805545831156,5
conservative_walden,0.0,ASWM-WS,c4_r8,5.469919461681158,6
conservative_walden,0.0,ASWM-WS,c8_r4,6.048998190550964,7
conservative_walden,0.0,ASWM-WS,compact_4x4,8.597720636179602,8
conservative_walden,0.0,Joint-ASWM,c8_r32,1.9241065514992135,1
conservative_walden,0.0,Joint-ASWM,c8_r16,2.8700592113251395,2
conservative_walden,0.0,Joint-ASWM,c4_r32,3.365574426367543,3
conservative_walden,0.0,Joint-ASWM,c4_r16,4.001492206362946,4
conservative_walden,0.0,Joint-ASWM,paper_optimum_8x8,4.034401707089279,5
conservative_walden,0.0,Joint-ASWM,c4_r8,5.469919461681158,6
conservative_walden,0.0,Joint-ASWM,c8_r4,6.048998190550964,7
conservative_walden,0.0,Joint-ASWM,compact_4x4,8.597720636179602,8
conservative_walden,0.0,Mixed-1bit,c8_r32,5.788812889236487,1
conservative_walden,0.0,Mixed-1bit,c8_r16,6.670693885138854,2
conservative_walden,0.0,Mixed-1bit,paper_optimum_8x8,7.406576952513509,3
conservative_walden,0.0,Mixed-1bit,c4_r32,7.763276616336124,4
conservative_walden,0.0,Mixed-1bit,c4_r16,7.841442932031321,5
conservative_walden,0.0,Mixed-1bit,c4_r8,8.101470920089517,6
conservative_walden,0.0,Mixed-1bit,c8_r4,9.135063155413215,7
conservative_walden,0.0,Mixed-1bit,compact_4x4,10.36319990392193,8
conservative_walden,0.5,ASWM-IS,c8_r32,2.7487664105985727,1
conservative_walden,0.5,ASWM-IS,c4_r32,4.610813606433677,2
conservative_walden,0.5,ASWM-IS,c8_r16,5.173489162444177,3
conservative_walden,0.5,ASWM-IS,c4_r16,9.273162582691764,4
conservative_walden,0.5,ASWM-IS,paper_optimum_8x8,10.311419641506218,5
conservative_walden,0.5,ASWM-IS,c4_r8,26.694626236504874,6
conservative_walden,0.5,ASWM-IS,c8_r4,27.212407189247816,7
conservative_walden,0.5,ASWM-IS,compact_4x4,64.16662380803695,8
conservative_walden,0.5,ASWM-WS,c8_r32,2.64041043935462,1
conservative_walden,0.5,ASWM-WS,c8_r16,3.29109948063936,2
conservative_walden,0.5,ASWM-WS,paper_optimum_8x8,4.038607752933166,3
conservative_walden,0.5,ASWM-WS,c4_r16,4.281302872707496,4
conservative_walden,0.5,ASWM-WS,c4_r32,4.427814681611772,5
conservative_walden,0.5,ASWM-WS,c4_r8,5.473228506713039,6
conservative_walden,0.5,ASWM-WS,c8_r4,6.056543191554371,7
conservative_walden,0.5,ASWM-WS,compact_4x4,8.603728424844894,8
conservative_walden,0.5,Joint-ASWM,c8_r32,1.9241745557094658,1
conservative_walden,0.5,Joint-ASWM,c8_r16,2.8719303402338676,2
conservative_walden,0.5,Joint-ASWM,c4_r32,3.3660703729390087,3
conservative_walden,0.5,Joint-ASWM,c4_r16,4.003051963856763,4
conservative_walden,0.5,Joint-ASWM,paper_optimum_8x8,4.038607752933166,5
conservative_walden,0.5,Joint-ASWM,c4_r8,5.473228506713039,6
conservative_walden,0.5,Joint-ASWM,c8_r4,6.056543191554371,7
conservative_walden,0.5,Joint-ASWM,compact_4x4,8.603728424844894,8
conservative_walden,0.5,Mixed-1bit,c8_r32,5.799718445468594,1
conservative_walden,0.5,Mixed-1bit,c8_r16,6.693610646534333,2
