network,mapping,energy_model,optical_loss_db_per_stage,architecture,stationarity,layers,energy_j,latency_s,edp_j_s,frontier_states,accuracy,accuracy_status
alexnet,ASWM-IS,conservative_walden,0.0,c8_r32,IS,8,1.3238899187142517,0.0580772352,0.07688786618807647,93,,NOT_MODELED
alexnet,ASWM-IS,conservative_walden,0.5,c8_r32,IS,8,1.3244695225536065,0.0580772352,0.07692152797657752,93,,NOT_MODELED
alexnet,ASWM-IS,conservative_walden,1.0,c8_r32,IS,8,1.325288234737703,0.0580772352,0.0769690765166544,93,,NOT_MODELED
alexnet,ASWM-IS,linear_bit,0.0,c8_r32,IS,8,1.4531826456192247,0.0290386176,0.042198415149092984,93,,NOT_MODELED
alexnet,ASWM-IS,linear_bit,0.5,c8_r32,IS,8,1.4532683147951375,0.0290386176,0.04220090286353242,93,,NOT_MODELED
alexnet,ASWM-IS,linear_bit,1.0,c8_r32,IS,8,1.4533644371914762,0.0290386176,0.0422036941250425,93,,NOT_MODELED
alexnet,ASWM-IS,optimistic_constant_symbol,0.0,c8_r32,IS,8,0.9810366409467127,0.0290386176,0.028487947868040094,1,,NOT_MODELED
alexnet,ASWM-IS,optimistic_constant_symbol,0.5,c8_r32,IS,8,0.9811223101226254,0.0290386176,0.028490435582479528,1,,NOT_MODELED
alexnet,ASWM-IS,optimistic_constant_symbol,1.0,c8_r32,IS,8,0.9812184325189642,0.0290386176,0.028493226843989607,1,,NOT_MODELED
alexnet,ASWM-WS,conservative_walden,0.0,c8_r32,WS,8,1.8505951533287226,0.0346481664,0.06411972881156709,99,,NOT_MODELED
alexnet,ASWM-WS,conservative_walden,0.5,c8_r32,WS,8,1.850674197355225,0.0346481664,0.06412246754215027,99,,NOT_MODELED
alexnet,ASWM-WS,conservative_walden,1.0,c8_r32,WS,8,1.8507628862116627,0.0346481664,0.06412554044840596,99,,NOT_MODELED
alexnet,ASWM-WS,linear_bit,0.0,c8_r32,WS,8,0.9023830995747644,0.0346481664,0.0312659197906142,1,,NOT_MODELED
alexnet,ASWM-WS,linear_bit,0.5,c8_r32,WS,8,0.9024621436012666,0.0346481664,0.03126865852119738,1,,NOT_MODELED
alexnet,ASWM-WS,linear_bit,1.0,c8_r32,WS,8,0.9025508324577045,0.0346481664,0.03127173142745306,1,,NOT_MODELED
alexnet,ASWM-WS,optimistic_constant_symbol,0.0,c8_r32,WS,8,0.643779812187321,0.0346481664,0.022305790057627048,1,,NOT_MODELED
alexnet,ASWM-WS,optimistic_constant_symbol,0.5,c8_r32,WS,8,0.6438588562138234,0.0346481664,0.022308528788210227,1,,NOT_MODELED
