Tiles,PEs,Cols,Rows,EDP,TOPS,Energy,Area,Cycles,Latency,Power,Energy_per_MAC,TOPS_per_W,TOPS_per_mm2
1,1,9,113,1634.4090516214958,155.399140625,170.5615668738447,3.7487520367e-05,47912583168.0,9.582516633600001,17.79924558396174,2.9442984172392764e-11,8.73065883000258,4145356.617446396
1,1,100,12,1239.3373145784508,194.38980468749997,151.8182644822481,3.71595800566e-05,40816476160.0,8.163295232,18.59766922150784,2.620741242017295e-11,10.452374562221593,5231216.402107158
1,64,4,4,3153.612098867498,185.599921875,348.40295895623876,0.00013453147628,45258113024.0,9.051622604800002,38.49066340563996,6.014219588378163e-11,4.821946556727948,1379602.2091418323
1,32,4,8,2318.3510283158603,185.5998046875,256.1224957275907,0.00010230214508,45258637312.0,9.051727462400002,28.29542723104499,4.421258709375249e-11,6.559356859042752,1814231.7987796
1,16,4,16,1991.234192264435,185.599609375,219.97879052806064,8.593998188000001e-05,45259685888.0,9.051937177600001,24.301846799425654,3.797332277225216e-11,7.637263575350431,2159642.174862883
1,8,4,32,1936.153475827179,185.599609375,213.89382602194814,7.759800588e-05,45259685888.0,9.051937177600001,23.62961892303579,3.6922920046181926e-11,7.854532482284962,2391809.006819287
1,32,8,4,2315.0185106706604,185.599921875,255.7572947686777,0.0001032737199379,45258113024.0,9.051622604800002,28.255408553274385,4.414946809512007e-11,6.568651149568733,1797165.0676145293
1,16,8,8,1809.5168073642662,185.5998046875,199.90845005893334,7.142515993799999e-05,45258637312.0,9.051727462400002,22.08511589520715,3.450876009114079e-11,8.403841101317397,2598521.373261304
1,8,8,16,1600.1488452401059,185.599609375,176.77418809311308,5.5310495938e-05,45259685888.0,9.051937177600001,19.528879247036755,3.051522960985787e-11,9.503853602001366,3355594.742506863
1,4,8,32,1522.8979005542428,185.599609375,168.23999887259697,4.712941193800001e-05,45259685888.0,9.051937177600001,18.58607672277323,2.904203521192433e-11,9.985948736969737,3938084.5578799327
