Tiles,PEs,Cols,Rows,EDP,TOPS,Energy,Area,Cycles,Latency,Power,Energy_per_MAC,TOPS_per_W,TOPS_per_mm2
1,1,9,113,2.4852824666035294,18.695664062499997,8.78222786432536,1.2514520367000004e-05,1414949888.0,0.2829899776,31.033706348211535,7.564331752258432e-11,0.6024309134309194,1493917.7462844902
1,1,100,12,0.539630365702017,27.478945312500002,3.1030820971978073,3.45075800566e-05,869507072.0,0.1739014144,17.843915231535963,2.6727719822865847e-11,1.5399616595317505,796316.20842228
1,64,4,4,2.7342570936650645,20.384726562499996,10.614575702990372,7.795547628e-05,1287972864.0,0.2575945728,41.20651917318023,9.142605518409409e-11,0.49469663954939547,261491.91224593716
1,32,4,8,2.500169354402898,20.304218749999993,9.651686278440627,4.572614508e-05,1295198208.0,0.2590396416,37.259495183152026,8.313233116128259e-11,0.5449407902654876,444039.5907959621
1,16,4,16,2.76109099168302,20.294042968749995,10.658934704854708,2.936398188e-05,1295200256.0,0.25904005119999995,41.147825038936325,9.180800820764002e-11,0.4931984363583412,691120.266034914
1,8,4,32,4.762426301330761,17.589999999999996,15.099708755705471,2.102200588e-05,1576992768.0,0.31539855359999996,47.87500951845035,1.3005700683946435e-10,0.3674150705541074,836742.2262370709
1,32,8,4,2.6777812022856757,17.619999999999997,8.490183624682652,7.498571993799999e-05,1576986624.0,0.3153973248,26.919009633535904,7.312775945605121e-11,0.6545560271299458,234978.07335274824
1,16,8,8,2.354724122588316,17.619999999999997,7.4658975756420745,4.3137159938e-05,1576986624.0,0.3153973248,23.6714042529573,6.430536560456037e-11,0.744358036883203,408464.5355726895
1,8,8,16,2.4168857087582385,17.609824218749996,7.662977393785105,2.7022495938e-05,1576988672.0,0.31539773439999996,24.296234747414548,6.600285629447069e-11,0.7247964304684668,651672.7492217487
1,4,8,32,2.7858527366641233,17.589999999999996,8.832801244222711,1.8841411938e-05,1576992768.0,0.31539855359999996,28.00520529788096,7.607879797002291e-11,0.6280975201896113,933581.8386584865
