Architecture,Aggregated_Score,Rank,Geometric_Mean,Worst_Case_Score,Best_Network,Best_Network_Score,Worst_Network,Worst_Network_Score
"T1, P32, C8, R4",0.8529673580452595,1,0.7709227242967746,1.0991012592907146,alexnet,0.5609510208062349,vgg16,1.0991012592907146
"T1, P16, C8, R8",0.86260788036478,2,0.6239863623805676,1.5784724343174172,alexnet,0.3781388569558216,mobilenet_v3,1.5784724343174172
"T1, P32, C4, R8",0.9926121232677592,3,0.7443623032146257,1.7373615834271594,alexnet,0.6122887164780183,mobilenet_v3,1.7373615834271594
"T1, P64, C4, R4",1.0,4,1.0,1.0,alexnet,1.0,alexnet,1.0
"T1, P8, C8, R16",1.2666379121361522,5,0.626536215214863,3.1869430029000196,gpt2_medium,0.3544250124788046,mobilenet_v3,3.1869430029000196
"T1, P16, C4, R16",1.3315093927541266,6,0.7259166646464938,3.1482875770770247,vision_transformer,0.4953430663849501,mobilenet_v3,3.1482875770770247
"T1, P4, C8, R32",2.1149197493421292,7,0.6604374784019684,6.478366562162611,gpt2_medium,0.3287559322775092,mobilenet_v3,6.478366562162611
"T1, P1, C9, R113",2.5497584944989273,8,0.6471128405412525,8.257695456371952,vgg16,0.3332682315073798,mobilenet_v3,8.257695456371952
"T1, P8, C4, R32",2.829149890655225,9,0.9322558859765144,8.519831904691356,vision_transformer,0.4747412955432806,mobilenet_v3,8.519831904691356
"T1, P1, C100, R12",8.6392280428291,10,0.44178291907707407,33.23156341408517,alexnet,0.110022677403794,mobilenet_v3,33.23156341408517
